LATITUDE,LONGITUDE
40.8232500,-73.8827700
40.6924500,-73.8110050
40.7140600,-73.9529200
40.6315270,-73.9480440
40.7573360,-73.9897300
40.7526440,-74.0042800
40.8636900,-73.9170700
40.5975800,-73.9959400
40.7990900,-73.9347800
40.6507200,-74.0030300
40.6032030,-73.9375840
40.6697350,-73.9310400
40.6383100,-73.9534760
40.7078500,-73.8972500
40.6913260,-73.9564600
40.7892530,-73.8518200
40.7982520,-73.9524900
40.7546200,-73.8216700
40.6744540,-73.8026050
40.6992400,-73.8063200
,
40.6711600,-73.9170000
,
40.6941070,-73.8973700
40.8559720,-73.8698960
40.6913720,-73.8098900
40.6707000,-73.7736600
40.8067970,-73.9245800
40.6414150,-73.9312200
40.7092250,-73.8431550
40.6234930,-73.9977800
40.8441430,-73.8892100
40.6247020,-73.9177600
,
40.7353100,-73.9188900
40.6666950,-73.7671360
40.6810800,-73.8404800
40.7243080,-73.7247400
40.8481180,-73.9308900
40.7933770,-73.9708600
40.6439930,-73.9440100
40.7118450,-73.8597640
40.6776280,-73.8943940
40.6343800,-73.9657400
40.6771930,-74.0065000
,
40.7493500,-73.8580700
40.6195700,-73.9335500
40.6725900,-73.9515200
40.7878840,-73.8410300
40.6854100,-73.9265800
40.7115970,-73.8581900
40.8077700,-73.9454900
40.5953750,-73.9862800
40.7338030,-73.8906300
40.8501800,-73.9105900
40.7063560,-73.9002760
,
40.8843960,-73.8799800
40.6958580,-73.8189100
40.6811260,-73.9644600
40.6362650,-73.9480200
,
,
40.5438700,-74.1444500
40.6212160,-73.9353900
40.5413250,-74.2098400
40.8127250,-73.9493100
40.8150020,-73.8832300
40.6374470,-74.0199700
40.7533700,-73.9746550
40.7378100,-73.9292450
40.6649600,-73.8222600
40.6764950,-73.9137040
40.8326230,-73.9253700
40.8892000,-73.8422300
40.8527870,-73.8966300
40.6198200,-74.0815050
40.6711960,-73.8429600
40.6625140,-73.8815160
40.6553960,-73.9297700
40.6555820,-73.8389900
40.8386300,-73.9334800
40.6928600,-73.9319800
40.6674300,-73.7667600
40.6657900,-73.8738860
40.5788500,-73.9721500
40.7324070,-73.8777850
40.8316400,-73.9301150
,
40.7542080,-73.8122250
40.7069850,-73.9550900
40.7191800,-73.9902900
40.8543800,-73.8618600
40.7808570,-73.9588240
40.5847900,-74.0885000
40.7387800,-73.8706200
40.6701400,-73.8706400
40.6737670,-73.7638100
40.9040300,-73.9042200
40.6892280,-73.9847000
40.7746120,-73.9239900
40.7248880,-73.8989900
40.8435250,-73.8966700
,
40.6773260,-73.9582100
40.7002330,-73.9598800
40.6822100,-73.7725700
40.6175350,-73.9420700
40.6432150,-73.9493500
40.7170900,-73.8263100
40.6004260,-73.9418950
40.8820150,-73.8662000
40.6573300,-73.9172740
40.7483060,-73.8710400
,
40.6757350,-73.8968600
40.8777050,-73.9056600
40.7724200,-73.9628700
40.8233000,-73.8800300
40.7290840,-73.9813300
40.7045820,-73.7848600
40.7504500,-73.9873000
40.6810200,-73.7586500
40.7067600,-73.9504400
40.6731030,-73.9279300
40.6609700,-73.7501100
40.7206230,-73.9949800
40.8274730,-73.8231300
40.6818500,-73.8545000
40.7203400,-74.0022300
40.8712200,-73.8549200
,
40.7104700,-73.8509200
40.7406230,-73.9547100
40.6283950,-73.9977950
40.5949700,-73.7607100
40.7422830,-74.0044250
40.6541400,-73.8873200
40.7558800,-73.9844740
40.5739700,-74.1699200
40.7583400,-73.9964140
,
,
,
40.7652360,-73.9354100
,
40.6768900,-73.9000550
40.6721600,-73.9872100
40.7144500,-73.9306000
40.6678500,-73.9210300
40.7144500,-73.9306000
40.7067070,-74.0023350
40.7151870,-73.9110600
40.7547760,-73.8928150
40.5960240,-73.9817800
40.8037340,-73.9537700
,
40.6369130,-73.9937440
40.8653870,-73.8934560
40.7206420,-73.9432750
40.7489240,-73.9373860
40.6619640,-73.9570500
40.6840100,-73.8536500
40.7270600,-73.9569500
40.7816700,-73.8307600
40.7170200,-73.8305050
40.8346250,-73.8420100
40.6833460,-73.7347700
40.6541370,-73.9123400
40.8777960,-73.8680600
40.7402600,-73.9905240
40.7598700,-73.7711600
40.7432750,-73.7757200
40.7873900,-73.9382250
40.6905500,-73.8340500
,
40.7477200,-73.9868200
40.7664340,-73.8376700
40.6051670,-73.9930340
,
40.6990130,-73.8236600
40.7152560,-73.9521200
,
40.5969100,-74.1913400
40.8146320,-73.9442000
40.6129570,-73.9590800
40.7443200,-73.8949400
40.7512440,-73.9912200
40.5879400,-73.9742900
40.7506700,-73.9908500
40.8335880,-73.8615000
40.7646500,-73.8234940
40.7526050,-73.9857500
40.8173870,-73.9227700
40.8624100,-73.9225000
40.7705540,-73.8355100
40.7374650,-73.9198460
40.8040660,-73.9311700
40.7595140,-73.9992600
40.6689870,-73.9511800
40.7723100,-73.9558260
40.7770350,-73.9519000
40.6503370,-73.8684900
40.7074050,-73.9253900
40.7596240,-73.9700850
40.7024500,-74.0128250
40.6765670,-73.8576300
40.6420480,-74.0753300
40.6389660,-73.9425100
40.8326900,-73.8684700
40.7567300,-73.7215200
40.6584130,-74.0035700
40.7004500,-73.9580500
,
40.6631240,-73.9624400
40.6746330,-73.8936500
40.8192440,-73.8624700
40.8510320,-73.9017300
40.6527520,-73.8862900
40.8654400,-73.8557900
40.7038230,-73.8088000
40.7522600,-73.8324000
40.8452030,-73.8867500
,
40.8565370,-73.8725700
40.7902400,-73.9731500
40.6611250,-73.8947000
40.6195700,-73.9335500
,
40.6462000,-73.9317500
40.7014240,-73.9430700
40.8232570,-73.9429300
40.7162400,-74.0069200
40.6970600,-73.9193300
40.7259180,-73.8953500
40.6651150,-73.9293100
40.6664050,-73.8026350
40.6689500,-73.9339000
,
,
40.6498600,-74.0197200
40.6857600,-73.9155040
40.8991470,-73.8592900
,
40.7384720,-73.9319840
40.6731200,-73.8786540
